,h0,omega_m
459,64.02166,0.2667256
460,57.894455,0.25875354
461,63.12435,0.3004041
462,64.210075,0.27751768
463,64.62733,0.27785695
464,62.74492,0.28436694
465,61.84109,0.27190754
466,64.33844,0.28108743
467,61.848766,0.28728756
468,62.47795,0.28907508
469,60.981026,0.28724635
470,63.266872,0.27987716
471,61.680958,0.27131307
472,60.454224,0.27454138
473,65.19078,0.29406515
474,62.29363,0.27309522
475,60.48908,0.2830786
476,65.65947,0.3091907
477,63.776405,0.26166207
478,62.375454,0.2870801
479,63.688843,0.2747192
480,64.87655,0.27142462
481,64.51384,0.2699225
482,58.652115,0.28505626
483,61.027607,0.2636277
484,62.837322,0.28801635
485,65.10265,0.2791244
486,62.678223,0.28361335
487,62.03103,0.26146424
488,60.40851,0.28235617
489,59.777847,0.29218
490,62.693,0.28609067
491,63.367306,0.29393482
492,64.45382,0.29274392
493,63.4225,0.30498838
494,60.768578,0.27769667
495,62.45312,0.2854232
496,61.713055,0.26759663
497,64.34439,0.27573928
498,61.65963,0.28416765
499,64.93671,0.26548702
500,65.71945,0.27279434
501,60.34348,0.27976838
502,63.605637,0.27096388
503,62.92854,0.28130332
504,59.925926,0.26965144
505,62.386246,0.26475078
506,63.04575,0.22905923
507,60.870346,0.27707052
508,59.3742,0.26786664
509,61.09139,0.25996408
510,62.23101,0.2676402
511,58.834393,0.26607364
512,62.911873,0.2720953
513,64.92737,0.26476362
514,61.28917,0.28475863
515,61.735157,0.28420746
516,59.89017,0.27429813
517,59.443726,0.2657071
518,64.575485,0.28799158
519,63.668495,0.24340957
520,62.38084,0.29122722
521,64.811005,0.2686121
522,62.735107,0.29127762
523,53.270912,0.25507802
524,60.241253,0.29959965
525,63.271385,0.27910265
526,62.901497,0.28744248
527,61.869728,0.28557786
528,60.754303,0.27446982
529,60.034477,0.27906144
530,63.58915,0.27471963
531,62.637985,0.29702315
532,63.142826,0.2754151
533,60.557446,0.2804814
534,61.955723,0.2753317
535,61.068348,0.27520484
536,63.475212,0.2901056
537,62.2013,0.27821898
538,61.771877,0.2925138
539,62.733955,0.2921761
540,63.028427,0.29905096
541,61.647964,0.25275198
542,64.47482,0.26879945
543,61.007393,0.2760137
544,63.362553,0.2707528
545,62.98336,0.29537722
546,62.189884,0.28842056
547,60.54298,0.30066788
548,61.000423,0.2651369
549,68.16472,0.28347468
550,62.875828,0.281937
551,62.94364,0.26602626
552,63.47546,0.2609275
553,64.16216,0.26718542
554,58.208176,0.25854823
555,64.77454,0.28903174
556,62.950832,0.24405383
557,61.394283,0.29797745
558,62.651264,0.2930293
559,61.142666,0.2793537
560,62.388275,0.28940332
561,61.324474,0.2976078
562,64.97843,0.26739427
563,64.175186,0.29251182
564,62.89854,0.2765155
565,62.992126,0.2746884
566,63.54237,0.2738744
567,63.586372,0.27157253
568,60.609035,0.25913882
569,62.18358,0.26916507
570,61.80726,0.28430286
571,62.203655,0.26435086
